id,kategori,zorluk,soru_kisa,dogru_sik,jev_secimi,guven,sorunlu
0005f041-9857-4596-b975-2fa65c984c73,genel_kultur,3,Gregoryen takvimde 100'e bölünen bir yılın artık yıl olması için ayrıca kaça bölünmesi ger,400,500,0.290,0
0002b042-f627-4ec9-8c75-8ad30bedad96,teknoloji,4,'Codec' ne yapar?,"Ses ve videoyu kodlar, çözer","Ses ve videoyu kodlar, çözer",0.350,0
0007ad10-55fe-4495-a831-f7f549c9857b,sanat,3,Barok mimarinin özelliği nedir?,Zengin süsleme,Sadeleşme,0.390,0
000140ce-fb2c-4f9b-bdba-f8ccd92fcbf4,bilim,3,Mikronöroşirürjinin kurucusu sayılan ve 'yüzyılın beyin cerrahı' seçilen Türk hekim kimdir,Gazi Yaşargil,Aziz Sancar,0.120,0
0000c54e-de0b-463b-bfbf-0421c9eca820,muzik,4,Efsaneye göre yeteneği karşılığında bir kavşakta ruhunu şeytana sattığı anlatılan blues mü,Robert Johnson,Robert Johnson,0.740,0
0006e891-671d-4224-931d-8d077ac10155,cografya,3,Coğrafi koordinat sisteminde enlem hangi aralıktadır?,0-90 derece,0-360 derece,0.120,0
0007bbf6-f736-4be2-949e-05a01e316953,tarih,2,'Sanayi Devrimi' öncesinde üretim nasıl yapılırdı?,El emeğiyle atölyede,Otomasyonla seri hatta,0.230,0
000e8c8d-0ff9-4384-8d22-40b5804ef8d6,cografya,3,Okyanus asitlenmesinin nedeni nedir?,Karbondioksitin çözünmesi,Buzulların hızla erimesi,0.080,0
00092ecb-349a-4102-a460-73460f2aa305,sanat,3,Dram türü neyi birleştirir?,Acıklı ve gülünç yanı,Acıklı ve gülünç yanı,0.600,0
0007d250-1e61-4dd1-a35c-77514b7c38c7,cografya,2,Karasal iklimin en belirgin özelliği nedir?,Sıcaklık farkının fazlalığı,Sıcaklık farkının fazlalığı,0.560,0
000fcf74-48bc-42bc-9d08-26febff8e37b,teknoloji,5,'Bağımlılık enjeksiyonu' ne sağlar?,Gevşek bağlılığı,Gevşek bağlılığı,0.370,0
0013291d-ab14-4f4d-b3d3-c284bff6c5c3,teknoloji,2,Google arama motorunu kuran isimlerden biri kimdir?,Larry Page,Bill Gates,0.050,0
00141cca-0646-4c6e-b62e-f5afc068cd80,bilim,1,Asal olmayan en küçük çift sayı hangisidir?,4,4,0.480,0
001b9805-7f4e-4375-b17a-fb11fd8feacf,bilim,3,'Lazer' ışığının özelliği nedir?,Tek dalga boylu ve düzenli,Tek dalga boylu ve düzenli,0.920,1
001dee06-edfb-46fa-a867-9a27aedd8eb0,bilim,3,Yeni anıların uzun süreli belleğe aktarılmasında kilit rol oynayan beyin yapısı hangisidir,Hipokampüs,Hipokampüs,0.350,0
001fadbe-2ab7-4ec1-bc1a-e571509e99ca,cografya,2,Pasifik Ateş Çemberi neyle tanınır?,Deprem ve volkanlarıyla,Deprem ve volkanlarıyla,0.450,0
0021482f-58a4-46e2-909a-d520a056b9ba,cografya,3,Madagaskar hangi okyanustadır?,Hint Okyanusu,Pasifik Okyanusu,0.040,0
0022e374-f386-488e-9aad-f4c221f5c305,cografya,2,Kuraklık göstergesi olarak hangi veri izlenir?,Yağış ve toprak nemi,Yağış ve toprak nemi,0.580,0
002ca933-f1b3-4083-a0eb-faef38406270,sinema,2,'Neşeli Günler' (The Sound of Music) filmindeki ailenin soyadı nedir?,von Trapp,von Trapp,0.620,0
002c722e-75af-4ed2-b990-37a224cc61c7,spor,2,Bir ligde takımların sıralandığı tabloya ne denir?,Puan durumu,Puan durumu,0.570,0
002d95bf-5389-4a8b-9f7a-2ac1c48bd40f,muzik,4,Türk müziğinde ritim kalıplarına ne denir?,Usul,Makam,0.210,0
0032d283-c7a1-42a1-b22b-3a248d92be91,muzik,5,'Segah' makamı hangi alanda çok kullanılır?,Dinî müzikte,Marşta,0.260,0
003e2733-e66c-4c32-96ed-f43b8373028f,cografya,3,El Nino olayı neyi etkiler?,Küresel iklim düzenini,Küresel iklim düzenini,0.990,1
00336d00-dc27-48c4-9115-3b72d1d0711a,spor,3,'Yürüyüş yarışında' temel kural nedir?,Yerle temas kesilmemeli,Yerle temas kesilmemeli,0.580,0
004c5d39-6717-42e4-895f-a304576414c7,bilim,2,Frekans birimi nedir?,Hertz,Hertz,0.320,0
00583de1-f025-456a-924a-cc06118cf80a,muzik,2,'Bağlama' hangi çalgı ailesindendir?,Telli,Yaylı,0.220,0
004b41a2-b949-4c3f-b520-714da0172c3d,genel_kultur,1,Hangi hayvan grubunun vücut sıcaklığı sabittir?,Memeliler,İki yaşamlılar,0.220,0
00595793-13d0-44ff-8057-589b068538f5,bilim,3,Bağışıklıkta antikorları hangi hücreler üretir?,Akyuvarlar,Akyuvarlar,0.400,0
0068b933-d8d4-49ee-9537-d0db7db92a4b,genel_kultur,1,Akarsuların aştığı derin çukur şekle ne denir?,Vadi,Tepe,0.280,0
0065cbce-94ab-4b94-b9d6-8287a66f8ec0,genel_kultur,4,Manyas Gölü hangi ilimizdedir?,Balıkesir,Çanakkale,0.180,0
0068ef5f-0794-4f97-a730-fdc8ef901599,sinema,1,"Sinemada ""tür"" (janr) ne demektir?",Filmin kategorisi,Filmin toplam süresi,0.230,0
006a05a9-e876-49eb-b453-a2936fa42063,genel_kultur,2,Bir ürünün garanti süresi neyi ifade eder?,Ücretsiz onarım süresini,Ürünün raf ömrünü,0.380,0
00710014-e549-4aab-a44d-dfbbab83f378,muzik,4,Transpoze etmek ne anlama gelir?,Eseri başka tona taşımak,Eseri başka tona taşımak,0.470,0
007f8eca-ed0a-4508-85fa-1d16d2f44d9f,edebiyat,1,"""Romeo ve Juliet"" kimin eseridir?",Shakespeare,Shakespeare,0.520,0
008f2475-4a1a-4670-ac68-1cef37f5bf90,genel_kultur,1,Bir elin kaç parmağı vardır?,5,4,0.180,0
008532cd-b6d2-4c49-b341-77ccc320c97a,sanat,5,Kalemişi süsleme nerede uygulanır?,Duvar ve tavan yüzeyinde,Halı dokuma yüzeyinde,0.320,0
009a02c2-116a-4358-b918-78e255fb8e27,spor,2,Naim Süleymanoğlu hangi sporun efsanesidir?,Halter,Atletizm,0.100,0
00a20e91-ffae-4f83-b8e2-470df21e55f9,teknoloji,4,'A/B testi' neyi karşılaştırır?,İki farklı sürümün etkisini,İki farklı sürümün etkisini,0.860,1
00b761e6-1acf-41b9-80be-35e38f6cf8d8,tarih,3,Mısır'ı Osmanlı topraklarına katan padişah kimdir?,Yavuz Sultan Selim,Fatih Sultan Mehmet,0.070,0
00b99125-7bcc-4715-9e2c-c71f9f86d38f,muzik,4,'Otomasyon' mikste ne yapar?,Ayarları zamanla değiştirir,Notaları otomatik yazar,0.150,0
00bb37ff-c040-41ac-bdd7-bc5fb3dabaf8,cografya,2,Organik tarımın temel ilkesi nedir?,Kimyasal girdi kullanmamak,Kimyasal girdi kullanmamak,0.680,0
00c4c96b-0c19-4cc4-b76d-255f3aaeb720,cografya,3,Doğal sit alanı ile arkeolojik sit alanı arasındaki fark nedir?,Korunan değerin türü,Korunan değerin türü,0.580,0
00c4a92f-87cf-4233-8a2d-e63f88df4aaa,edebiyat,3,Jules Verne'in 'Seksen Günde Devrialem' romanında Phileas Fogg'un sadık Fransız uşağının a,Passepartout,Passepartout,0.860,1
00bfd277-6db7-4fd5-8d08-97d6cf9bf67b,tarih,3,'Tersane' Osmanlı'da ne işlevi görürdü?,Gemi yapımı,Para basımı,0.160,0
00c9b382-85a2-42e4-8e82-ef360bdc43be,muzik,4,Nokturn (gece parçası) hangi karakterdedir?,Dingin ve lirik,Dingin ve lirik,0.460,0
00cb1def-4abd-4a31-b941-277d85d121ae,cografya,2,Dünyanın en büyük sıcak çölü hangisidir?,Sahra Çölü,Sahra Çölü,0.740,0
00d1d1d1-471a-4902-bf96-addcbcb41f1b,genel_kultur,3,Roma İmparatorluğu'nu doğu ve batı olarak ayıran imparator kimdir?,Theodosius,Konstantin,0.080,0
00d4d5d2-31e2-4227-ab69-b401ee5882a9,edebiyat,5,'Ölmeye Yatmak' kime aittir?,Adalet Ağaoğlu,Adalet Ağaoğlu,0.490,0
00d37c42-72a4-418d-8080-73e9e8d1e70e,teknoloji,2,Veri sıkıştırmanın amacı nedir?,Daha az yer kaplaması,Daha az yer kaplaması,0.320,0
00d1f113-a8cf-4e6f-a94e-5a4fe1f79c46,teknoloji,3,RFID etiketleri ne için kullanılır?,Nesneleri radyoyla tanımlamak,Görüntüleri sayısal işlemek,0.170,0
00dd2974-e6e3-4b0d-9052-37be346127bd,spor,3,"Satrançta ""rok"" hamlesi hangi taşlarla yapılır?",Şah ve kale,Şah ve vezir,0.300,0
00d69fff-194e-483b-b52f-9db921fd8d73,spor,3,Beyzbolda bir maç kaç 'inning'den oluşur?,9,8,0.160,0
00dee41a-2b61-4235-86c7-ea5f17a5ce9f,genel_kultur,5,İngilizce Scrabble oyununda Q ve Z harflerinin her biri kaç puandır?,10,10,0.540,0
00e12eb2-b119-4fed-bbb5-03747e37993a,teknoloji,3,E-posta protokollerinden SMTP ne yapar?,E-posta gönderimini sağlar,Ses akışını canlı iletir,0.310,0
00dea4dc-9d81-42ff-bd83-7f82364c1362,teknoloji,2,'Bulut depolama' verinin nerede tutulduğunu belirtir?,Uzak sunucularda,Uzak sunucularda,0.890,1
00dd5500-b726-4f5c-8a94-73d0826a9a0e,spor,4,Kobe Bryant 2006'da Toronto Raptors'a karşı tek maçta kaç sayı atmıştır?,81,100,0.240,0
00e8bbde-e3bb-4b0b-a098-738aacb613a3,cografya,4,Türkiye'nin ilk milli parkı hangisidir?,Yozgat Çamlığı,Kaçkar Dağları,0.140,0
00ecb66a-4cfa-41eb-b938-bcc119b967cc,sinema,4,'Yansıtıcı' sette ne yapar?,Işığı yönlendirir,Işığı yönlendirir,0.400,0
00ea7889-27e5-4083-aae9-399059ba1f9e,edebiyat,3,Edgar Allan Poe hangi türün öncüsü sayılır?,Polisiye ve korku öyküsü,Tarihsel roman ve destan,0.150,0
00fc07c0-9a6c-4c71-8310-69cd8789f387,sinema,4,Andrey Tarkovski hangi ülkenin yönetmenidir?,Rusya (SSCB),Rusya (SSCB),0.770,0
00f57f5b-e6c9-48f7-9ea8-c2869f2265eb,spor,1,Futbolda köşe vuruşu hangi durumda verilir?,Top savunmadan auta çıkınca,Top savunmadan auta çıkınca,0.380,0
010d5c0d-4d15-4bd8-b5d4-90746cb0cc5a,spor,1,'Sporcu kampı' hangi amaca hizmet eder?,Yoğun hazırlık,Yoğun hazırlık,0.430,0
0117c539-60e1-4012-8c8f-083ec59b5d00,bilim,1,Su kaç derecede kaynar (deniz seviyesinde)?,100°C,100°C,0.940,1
011c616a-7be3-47c3-bd73-0f0aa43154a8,sinema,4,Georges Melies sinemaya hangi katkısıyla anılır?,Özel efekt ve fantastik anlatım,Sesli filmin bulunuşu,0.300,0
01214308-e727-46a7-868e-3af8edcc52a2,tarih,5,Mercidabık ve Ridaniye savaşları hangi devletle yapılmıştır?,Memlükler,Bizans,0.110,0
011dd8e5-1cd9-41d5-b74e-1bc7aa7b7cfa,sinema,3,'Görsel efekt' ile 'özel efekt' farkı nedir?,Özel efekt sette gerçek yapılır,Özel efekt sette gerçek yapılır,0.440,0
0131f558-0fdd-47e6-a978-79a4579eb976,cografya,2,Aşırı otlatmanın sonucu nedir?,Bitki örtüsünün seyrelmesi,Bitki örtüsünün seyrelmesi,0.760,0
0127570b-c365-4bcd-a0d6-fe53fa230c1a,genel_kultur,1,Grip hangi tür etkenden kaynaklanır?,Virüs,Bakteri,0.400,0
0139f1dd-dcce-477c-876b-facc46b35db8,sanat,3,'Sanat tarihi dönemlemesi' neyi kolaylaştırır?,Eserlerin bağlamda anlaşılmasını,Eserlerin bağlamda anlaşılmasını,0.700,0
0140df16-4655-4716-8b6a-b906637234de,bilim,4,Dünya Sağlık Örgütü çiçek hastalığının yeryüzünden silindiğini hangi yıl resmen ilan etmiş,1980,1991,0.260,0
0144113e-60e8-4e89-896a-f865b338a6cf,tarih,5,MÖ 31 Aktion Deniz Savaşı'nda Octavianus'un donanmasını fiilen yöneten komutan kimdir?,Agrippa,Agrippa,0.450,0
0143a9c9-cc46-456e-ab5a-6f7a4985604f,sinema,2,1933 yapımı 'King Kong' filminin finalinde dev goril hangi gökdelenin tepesine tırmanır?,Empire State,Empire State,0.600,0
014d42fc-f76d-4402-a3f3-ec41188a9c3a,cografya,3,Gürcistan'ın başkenti hangisidir?,Tiflis,Tiflis,0.930,1
01507337-626e-4ccf-b1d6-d3a06b26e836,sanat,2,'Doygunluk' neyi anlatır?,Rengin canlılığını,Cismin ağırlığını,0.190,0
015b0775-63ea-4910-b5cb-3fe47e14cda3,edebiyat,3,'Indiana' ve 'Consuelo' romanlarının yazarı George Sand aslında kimdir?,Bir kadın yazar,Bir Polonyalı piyanist,0.260,0
01560010-490d-4d7a-a1a1-f54e1abc8311,cografya,3,Ladin ve göknar ağaçları hangi bölgemizde yaygındır?,Doğu Karadeniz,Doğu Karadeniz,0.350,0
016865d3-945f-4fea-8c27-eed6d368bb11,teknoloji,2,HDMI kablosu neyi taşır?,Görüntü ve ses,Görüntü ve ses,0.790,0
01733ff5-dfcb-4319-8e18-e36ba9935a02,tarih,3,Tarihte ilk kez tekerleği kullanan uygarlık hangisidir?,Sümerler,Sümerler,0.600,0
01737af0-d6ff-4762-bca7-027e0d52fb2f,cografya,3,Afrika Boynuzu hangi ülkeleri kapsar?,Somali ve çevresi,Somali ve çevresi,0.370,0
0173d68b-6ee2-40d4-9640-c82e37c8e199,spor,2,Futbolda VAR sistemi ne için kullanılır?,Video ile karar incelemek,Video ile karar incelemek,0.790,0
018186d8-9912-4eed-b9c2-cc456c8b8fad,genel_kultur,1,Samba hangi ülkeyle özdeşleşmiştir?,Brezilya,Brezilya,0.560,0
017b078a-96c6-4109-9361-aac32b2fa344,tarih,2,'Berlin Duvarı'nın yıkılışı' neyi simgeledi?,Soğuk Savaş'ın sona ermesini,Sanayileşmenin hızlanmasını,0.190,0
01881221-edc4-47ef-8379-943891cd2b2c,sanat,2,"""Titanic"" ve ""Avatar"" filmlerinin yönetmeni kimdir?",James Cameron,Steven Spielberg,0.170,0
0191f372-3373-4c4c-8d26-57a64332420a,sinema,3,"Sinemada ""kare hızı"" (fps) neyi gösterir?",Saniyedeki kare sayısını,Saniyedeki kare sayısını,0.770,0
0196ed0f-dd03-4489-b1d9-c2935cce82cd,spor,4,1938 Dünya Kupası'nı hangi ülke kazandı?,İtalya,Fransa,0.120,0
01a87f32-5535-4fbc-8bbc-c38c6b7d1538,bilim,1,Antibiyotikler neye karşı etkilidir?,Bakteriler,Virüsler,0.370,0
01aa6dbf-be99-4e8b-a3cd-363ad43fbe07,teknoloji,3,'Big Blue' lakabıyla anılan köklü teknoloji şirketi hangisidir?,IBM,IBM,0.550,0
01b27be0-e31e-4a1d-b4f5-ec147757d175,sanat,3,Rölyef nedir?,Yüzeyden kabartma heykel,Serbest duran heykel,0.290,0
01b2e965-5dbe-4fe0-b685-26e7ff60804a,bilim,1,'pH 7' neyi gösterir?,Nötr,Nötr,0.810,1
01c92a51-4111-423e-84c7-bfac95d07dbd,genel_kultur,3,Kübizmin öncülerinden biri kimdir?,Picasso,Picasso,0.370,0
01b8cc46-95c1-4b16-9636-27b2313ade87,bilim,1,Metallerin ortak özelliği nedir?,Isı ve elektriği iletmesi,Isı ve elektriği iletmesi,0.620,0
01c9bc01-f606-4bfb-b1fc-7d85e084cfb7,teknoloji,2,Ekran kartının görevi nedir?,Görüntü işlemek,Veri saklamak,0.110,0
01f9abb7-a04d-4a6d-9a89-d31f0ddfceee,teknoloji,4,İş zekâsı (BI) araçları ne sağlar?,Veriyi karar için görselleştirmek,Veriyi karar için görselleştirmek,0.750,0
01e8c52b-a691-4e07-b9e4-ccc4528c9021,cografya,2,Okuryazarlık oranı hangi göstergeye girer?,Eğitim düzeyi göstergesine,Gelir göstergesine,0.170,0
01fc4aa5-9c68-481c-bc90-dfacebe11316,sanat,3,Sagrada Familia'yı tasarlayan mimar kimdir?,Gaudi,Gaudi,0.590,0
01fd6e04-ae93-4712-ab5a-cd86ccafe8d2,bilim,4,Fotosentezin ışıktan bağımsız tepkimelerindeki karbon tutma döngüsü kimin adıyla anılır?,Melvin Calvin,Hans Krebs,0.270,0
01fc048b-a2d2-417c-9c59-095e184ff01e,muzik,4,Sampling tekniği nedir?,Var olan kayıttan parça kullanmak,Çalgıyı akort edip ayarlamak,0.350,0
02002fc2-ba1f-4c2b-bfcc-fde89a73b125,spor,2,E-spor ne anlama gelir?,Elektronik oyun müsabakaları,Engelli sporları dalı,0.240,0
0200a1b0-aed3-47c6-8f42-e024372eaae2,tarih,2,Sanayi Devrimi'nin toplumsal sonuçlarından biri nedir?,İşçi sınıfının doğuşu,İşçi sınıfının doğuşu,0.860,1
0204b92e-9d90-44e1-b034-9d61d64a14bd,cografya,3,Liman yer seçiminde aranan özellik nedir?,Doğal korunaklı ve derin koy,Doğal korunaklı ve derin koy,0.950,1
0213bd4a-0e1b-4508-8691-4d392e99f1f5,teknoloji,4,'Kullanıcı yolculuğu haritası' neyi gösterir?,Kullanıcının adım adım deneyimini,Kullanıcının adım adım deneyimini,0.800,0
02068961-92cd-417c-abca-2b9310839dde,sanat,5,Fovizmin anıtsal eserlerinden 'Yaşama Sevinci' (1905-06) tablosunun ressamı kimdir?,Matisse,Matisse,0.930,1
021edc4f-a7ac-4097-9ccf-46e8866e7ead,tarih,4,Orta Çağ'da Lübeck merkezli olup Kuzey Avrupa ticaretine hükmeden tüccar şehirleri birliği,Hansa Birliği,Hansa Birliği,0.860,1
0221f0de-d263-4686-a639-eb8363bad0a3,edebiyat,5,Servet-i Fünun döneminin dil anlayışı nasıldır?,Ağır ve sanatlı,Sade ve yalın,0.210,0
022c98b1-9f8d-4da3-9d9c-bc32b3f435dc,genel_kultur,1,Bal arısının kovandaki görevlerinden biri nedir?,Nektar toplamak,İpekten ağ örmek,0.430,0
0225b140-381d-4cce-9810-f3c0bf260086,sanat,2,Video art hangi araçla üretilir?,Hareketli görüntü,Hareketli görüntü,0.440,0
0231dc2c-9f14-4cc5-87bd-5545e9ab886c,cografya,3,Türkiye'de mavi bayrak uygulaması neyi belgeler?,Plaj ve deniz temizliğini,Plaj ve deniz temizliğini,0.690,0
022dcfe1-b28f-44e8-879a-e3fdb56de5b1,cografya,4,Van Gölü'nün yüzölçümü yaklaşık ne kadardır?,3700 kilometrekare,3700 kilometrekare,0.560,0
0232979f-ca2f-4a5c-85d1-21363554e1c3,muzik,5,Mozart'ın 'Sihirli Flüt' operasında Gece Kraliçesi'nin kızının adı nedir?,Pamina,Pamina,0.470,0
0242c3b1-2aa4-4fd1-ae08-3c2692642797,sanat,3,Video art hangi aracı kullanır?,Hareketli görüntü,Hareketli görüntü,0.640,0
02446ee1-8d88-4d2b-b0cb-c4bcc6e3f220,teknoloji,5,'Yarış durumu' (race condition) ne zaman oluşur?,Aynı veriye eşzamanlı erişimde,Aynı veriye eşzamanlı erişimde,0.950,1
0245c614-673a-4da6-b1b3-171071cbc583,sanat,1,Çizgi roman hangi iki öğeyi birleştirir?,Görsel ve metin,Görsel ve metin,0.640,0
0258befd-0db8-4ffe-ac4d-e05249c4e196,sinema,4,'Diyalog düzenleme' ne yapar?,Konuşma kayıtlarını temizler,Kadraj ve çerçeve kurar,0.060,0
024c9087-fd71-42ea-aab9-0a0a66b44736,bilim,1,'Ses' hangi ortamda yayılmaz?,Boşlukta,Boşlukta,0.400,0
025a2023-5e1f-47f7-b32d-2346cb57515e,bilim,3,'Nötron yıldızı' hangi özellikte olur?,Çok yoğun,Çok büyük,0.310,0
0275572d-fc54-412e-9d4f-78a690a83fd9,teknoloji,3,"""Yama"" (patch) ne işe yarar?",Bilinen hataları gidermek,Bilinen hataları gidermek,0.760,0
02613063-fe5c-481b-881d-d37ee2e966ed,bilim,2,En sert doğal mineral hangisidir?,Elmas,Elmas,0.800,0
02770622-454d-459d-a090-246ee7604037,cografya,2,Magmanın yeryüzüne çıkmasına ne denir?,Volkanizma,Erozyon,0.170,0
027f3faf-d48e-41b6-8f68-fe14f727c27b,spor,1,Futbolda 'çalım' hangi beceriyi anlatır?,Rakibi geçme,Kaleci çıkışı,0.240,0
0285a30d-bffd-448d-be78-541ef98ea956,spor,4,Kırkpınar'da başpehlivana verilen ödül kemerin adı nedir?,Altın kemer,Şampiyonluk kuşağı,0.170,0
0285adda-b8d5-42aa-a030-b282e6603b7d,bilim,3,'Başkalaşım kayacı' neyle oluşur?,Isı ve basınçla,Isı ve basınçla,0.680,0
028d2500-6c86-4d4e-ad9f-71a21c321438,cografya,3,Bir bölgede monokültür tarım neyi ifade eder?,Tek ürüne bağımlı tarım,Çok ürünlü karma tarım,0.150,0
02952b2a-be23-49d2-98f0-525d580fe750,cografya,2,Biyokütle enerjisi neyden elde edilir?,Organik atıklardan,Uranyum yakıttan,0.080,0
028f6c31-8ac6-42b8-b52e-431d9e5076e0,bilim,2,Ses hangi ortamda en hızlı yayılır?,Katılarda,Boşlukta,0.130,0
029f0d92-fe88-4f88-89c8-bebd279771c2,cografya,2,Türkiye'nin matematik konumu neye göre belirlenir?,Enlem ve boylam,Enlem ve boylam,0.840,1
02a58ee6-b919-4d9e-aa8c-4e4dbfa725c7,genel_kultur,1,Times Meydanı hangi şehirdedir?,New York,New York,0.860,1
02ad7346-4305-4cdd-8ef5-b6aad9fe8e56,muzik,2,Konservatuvarın işlevi nedir?,Müzik ve sahne sanatı eğitimi,Müzik ve sahne sanatı eğitimi,0.390,0
02af93da-9215-4cdc-baf8-6e83598c0770,bilim,3,Bilimsel yasa neyi ifade eder?,Değişmez bir ilişkiyi,Değişmez bir ilişkiyi,0.770,0
02afb6f8-8cd6-4906-ab06-9b52b12c3d71,teknoloji,3,Şifreleme anahtarının uzunluğu neyi etkiler?,Kırılma zorluğunu,Ağ hızını,0.330,0
02b30691-f280-42bd-b8fd-480ea6a6fce3,sinema,3,'Sapık' ve 'Kuşlar' filmlerinin yönetmeni kimdir?,Alfred Hitchcock,Alfred Hitchcock,0.740,0
02b5626f-80fe-4ca9-b7b2-a2d98cddd67f,cografya,1,Ay'ın evrelerinin nedeni nedir?,Ay'ın Dünya çevresinde dolanması,Dünya'nın kendi ekseninde dönmesi,0.080,0
02cb7afb-2d1c-4113-a116-5d4c4b0a1e9f,spor,4,Kadınlar maratonu olimpiyatlarda ilk kez hangi yıl koşuldu?,1984,1980,0.300,0
02cc9b1e-ee29-40ce-a82f-7745edd1a606,tarih,3,Tarihte bilinen ilk Türk devleti hangisidir?,Asya Hun Devleti,Göktürk Devleti,0.150,0
02cd1ca5-2b1c-480e-88f1-231b5f172476,muzik,2,"Müzikte ""armoni"" nedir?",Seslerin uyumlu kullanımı,Seslerin uyumlu kullanımı,0.380,0
02d49bcb-a26c-4bf2-a865-fae68379b642,sanat,2,Ergonomi tasarımda neyi gözetir?,İnsan vücuduna uygunluğu,İnsan vücuduna uygunluğu,0.800,0
02d94eb0-4b3d-4358-a549-53b66c0c902a,spor,3,12 Dev Adam hangi spor dalımızın milli takımıdır?,Basketbol,Futbol,0.060,0
02d9938f-a89c-4385-a424-f5c1e6c68628,teknoloji,3,'Kimlik avı' (phishing) nasıl işler?,Sahte iletiyle bilgi çalarak,Sahte iletiyle bilgi çalarak,0.960,1
02d9f0b0-0936-4c31-918e-559eaaee20e8,spor,2,Basketbolda 'asist' neyi ifade eder?,Sayıya götüren pas,Sayıya götüren pas,0.490,0
02d9f80c-a192-4783-a733-07e2ce0d0307,genel_kultur,3,Neuschwanstein Şatosu hangi ülkededir?,Almanya,Fransa,0.180,0
02dc101e-d99a-451f-b727-96962a0f230a,edebiyat,2,"""Tom Sawyer'ın Maceraları"" kimin eseridir?",Mark Twain,Mark Twain,0.410,0
02e02fcc-466f-48b4-a60b-1d83f3e14676,teknoloji,3,'SSD' ne tür bir depolama birimidir?,Katı hal sürücüsü,Katı hal sürücüsü,0.440,0
02e191fe-18f4-4cec-a011-6b6057d3cad8,cografya,3,Haliç (estuar) nedir?,Gelgitin etkili olduğu ağız,Akarsuyun delta ovası,0.110,0
02e6080c-c7b4-4aed-b8bf-e93338301d32,cografya,3,Türkiye'nin matematik konumunda enlem aralığı hangisidir?,36-42 kuzey,36-42 kuzey,0.360,0
