id,alan,eski,yeni,sebep,jev_guven,migration
053a7fb7-080f-465e-8984-12160f2ec4d9,questions.aktif,true,false,"2d çeviri: 1921 ve 1924 anayasalarının ikisi de ""Teşkilat-ı Esasiye Kanunu"" — TR ve EN çoklu doğru",1,20260612000316_soru_temizlik_pasif
06a589ca-dacf-4200-92e3-18015337151b,questions.aktif,true,false,"2c itiraz: ""en değerli taş"" Şah (vazgeçilmez) mı Vezir (en güçlü/en yüksek puan) mı — iki şık da savunulabilir",0.81,20260612000316_soru_temizlik_pasif
382ca1e0-3a6c-491e-96b6-205764ae35f4,questions.aktif,true,false,2b Jev ikinci geçiş: hassas,0.82,20260612000316_soru_temizlik_pasif
5c895c72-cdfa-4ba6-acd5-318da35c5ca0,questions.aktif,true,false,"2c itiraz: soru ""tam ses aralığı"" soruyor, şıklar nota sayısı; oktavda 6 tam ses / 12 yarım ses / 8 nota — doğru cevap net değil",0.85,20260612000316_soru_temizlik_pasif
77f16153-b221-4744-8db0-870d42db11e1,questions.aktif,true,false,2b Jev ikinci geçiş: hassas,0.83,20260612000316_soru_temizlik_pasif
7ab45305-86df-4ba6-b46a-1421f5ef459f,questions.aktif,true,false,2c itiraz: Hatşepsut da Kleopatra da Mısır'ı yöneten kadın firavun — çoklu doğru,0.9,20260612000316_soru_temizlik_pasif
92466ab9-81c6-4538-8189-9c397bfe32f4,questions.aktif,true,false,"2c itiraz: Çin Seddi uzunluğu tanıma bağlı (Ming hattı ~8.850 km, tüm kollar 21.196 km); ""ana hat"" belirsiz",0.9,20260612000316_soru_temizlik_pasif
8b64cc47-d5ab-4638-8aea-0ae2418739cc,question_translations(en).soru,Who prepares a book for printing?,Who edits a manuscript and prepares it for publication?,"2d çeviri: ""prepares a book for printing"" Typesetter'ı da doğru kılıyordu; editör işi açıkça yazıldı",0.99,20260612000316_soru_temizlik_pasif
00092ecb-349a-4102-a460-73460f2aa305,questions.kategori,sanat,edebiyat,2e Jev ikinci geçiş: kategori,1.00,20260612000317_soru_temizlik_kategori
004b41a2-b949-4c3f-b520-714da0172c3d,questions.kategori,genel_kultur,bilim,2e Jev ikinci geçiş: kategori,1.00,20260612000317_soru_temizlik_kategori
0068b933-d8d4-49ee-9537-d0db7db92a4b,questions.kategori,genel_kultur,cografya,2e Jev ikinci geçiş: kategori,1.00,20260612000317_soru_temizlik_kategori
0065cbce-94ab-4b94-b9d6-8287a66f8ec0,questions.kategori,genel_kultur,cografya,2e Jev ikinci geçiş: kategori,1.00,20260612000317_soru_temizlik_kategori
0127570b-c365-4bcd-a0d6-fe53fa230c1a,questions.kategori,genel_kultur,bilim,2e Jev ikinci geçiş: kategori,1.00,20260612000317_soru_temizlik_kategori
01881221-edc4-47ef-8379-943891cd2b2c,questions.kategori,sanat,sinema,2e Jev ikinci geçiş: kategori,1.00,20260612000317_soru_temizlik_kategori
