id,kategori,jev_egilim,guven,soru,dogru
ff05f1c5-ce38-4655-97f7-806ae1e2f409,bilim,evrensel,0.11,Kurbağa yavrusuna ne ad verilir?,İribaş
b412c0a7-4ddf-430a-8287-748a851c082f,bilim,evrensel,0.29,Hulusi Behçet hangi alanda dünyaca tanınır?,Tıp
000140ce-fb2c-4f9b-bdba-f8ccd92fcbf4,bilim,evrensel,0.39,Mikronöroşirürjinin kurucusu sayılan ve 'yüzyılın beyin cerrahı' seçilen Türk hekim kimdir?,Gazi Yaşargil
902dca8e-cf01-4067-875d-1f41d5350df3,bilim,yerel,0.45,Genç yaşta Yale'de profesör olan ve 'Türk Einstein'ı' diye anılan kuantum kimyacısı kimdir?,Oktay Sinanoğlu
106a53ca-96ba-456e-8bfb-051c70add102,bilim,evrensel,0.57,Bebeklerin kafatası kemikleri arasındaki kapanmamış yumuşak bölgeye halk arasında ne denir?,Bıngıldak
72f9fe6e-e678-441f-93a5-4b30f8df9f1f,bilim,evrensel,0.64,Behçet hastalığını tanımlayan bilim insanı hangi ülkedendir?,Türkiye
d9e0cde9-d703-4216-84da-c576961a4897,cografya,evrensel,0.02,Türkiye'nin komşusu olmayan ülke hangisidir?,Mısır
537af3e3-b933-4874-96b3-954cd277d3a0,cografya,evrensel,0.03,Türkiye'nin yüzölçümü yaklaşık ne kadardır?,780 bin kilometrekare
e65d4b03-e4aa-44d5-a08b-089af18a49ec,cografya,yerel,0.04,Kıbrıs'ın en yüksek dağı hangisidir?,Trodos
4beb7aea-71e5-4106-a392-f1e1f31e09d6,cografya,yerel,0.06,Türkiye'ye komşu olmayan ülke hangisidir?,Ukrayna
971468db-1366-4059-a0b3-6f33c8e14897,cografya,evrensel,0.06,Smyrna hangi kentin antik adıdır?,İzmir
637f1fcd-3f4f-480b-b61d-77f4038f31d0,cografya,evrensel,0.07,Türkiye'de alabalık yetiştiriciliği hangi ortamda yapılır?,Tatlı su
5a541b71-f85a-4ec7-b8f0-ea282ffe608b,cografya,evrensel,0.08,Leylekler Türkiye'den hangi mevsimde göç eder?,Sonbaharda
029f0d92-fe88-4f88-89c8-bebd279771c2,cografya,evrensel,0.09,Türkiye'nin matematik konumu neye göre belirlenir?,Enlem ve boylam
27b700ef-6392-4cc2-a0a6-16fe385a2c86,cografya,yerel,0.12,Türkiye'de kişi başına su miktarı hangi kavramla değerlendirilir?,Su varlığı sınıflandırması
348db667-3b01-482b-8300-e809bee532cc,cografya,yerel,0.12,Şehirlerde gecekondulaşmanın temel nedeni nedir?,Plansız hızlı göç
4bba4a07-5dff-4c62-877f-2f721abd81ff,cografya,evrensel,0.12,Türkiye'nin Avrupa'daki komşuları hangileridir?,Yunanistan ve Bulgaristan
0c65cbdc-5362-4c38-91ef-f88bb4826ef8,cografya,yerel,0.13,Türkiye'nin transit ticarette avantajı nereden gelir?,Asya-Avrupa arasında olmasından
182e8dfd-c08b-4df4-b4c8-130bc46a83d4,cografya,yerel,0.14,Oba yerleşmesi hangi yaşam biçimiyle ilgilidir?,Göçebe hayvancılık
6662a710-8749-4d90-ad88-4205a4ce79f2,cografya,evrensel,0.15,Karadeniz'de derinlerde oksijenin bulunmamasının nedeni nedir?,Tuzluluk farkıyla suyun karışmaması
ff934607-fdd3-4acc-94b6-76ffd253c1dd,cografya,yerel,0.16,Dünyanın en işlek hava yollarından İstanbul Havalimanı hangi yakadadır?,Avrupa
2895214a-5ce5-48e5-b595-70e89504e809,cografya,yerel,0.17,Karada deniz seviyesine göre en alçak nokta hangisidir?,Ölü Deniz kıyısı
b3cce79a-8b88-464d-ad77-6ff5a2babacb,cografya,yerel,0.19,Kerkük-Yumurtalık boru hattı neyi taşır?,Ham petrol
4fe3805b-ca92-4875-953e-10a72d535211,cografya,evrensel,0.20,Türkiye hangi yarım kürelerdedir?,Kuzey ve doğu
b965ecec-9fde-4194-94ae-209c86436912,cografya,yerel,0.20,Karayolu ulaşımının Türkiye'de yaygınlaşmasının nedeni nedir?,Kapıdan kapıya taşıma esnekliği
51cb6139-ecf7-41ac-8eac-ebe9c4645c9c,cografya,yerel,0.22,Mavi Akım doğal gaz hattı hangi denizin altından geçer?,Karadeniz
6d234e27-5154-4be4-b322-72e1ad8845f8,cografya,evrensel,0.23,Lehçe ile ağız arasındaki fark nedir?,Lehçenin daha büyük ayrışma göstermesi
4a78178b-b47c-4464-ad3a-88d642483ae2,cografya,evrensel,0.24,Selanik hangi denize kıyıdır?,Ege Denizi
95fbb36a-93b4-4ee3-bd34-3b6839b27e4a,cografya,yerel,0.24,Peribacalarının oluşumunda hangi kayaç etkilidir?,Volkanik tüf
699eb59e-1f7c-453a-9d83-11d11e32b798,cografya,yerel,0.25,Türkiye'de sel riskinin artmasının insan kaynaklı nedeni nedir?,Dere yataklarının yapılaşması
6deffe08-cae8-4b12-8eb5-c50bd4eb2c1d,cografya,evrensel,0.28,Nadas uygulamasının amacı nedir?,Toprakta nem biriktirmek
f6efd8aa-cdda-496c-8a1d-30398f328dcc,cografya,yerel,0.29,Boğazlar'daki alt akıntı hangi yönde ilerler?,Akdeniz'den Karadeniz'e
72582474-cc35-46f0-9816-f22476398963,cografya,evrensel,0.30,Türkiye'nin başkenti neresidir?,Ankara
