id,puan,kaynak
0000c54e-de0b-463b-bfbf-0421c9eca820,2.93,kapi
000140ce-fb2c-4f9b-bdba-f8ccd92fcbf4,3.36,kapi
0002b042-f627-4ec9-8c75-8ad30bedad96,2.90,tarama
0005f041-9857-4596-b975-2fa65c984c73,2.43,kapi
0006e891-671d-4224-931d-8d077ac10155,2.05,tarama
0007ad10-55fe-4495-a831-f7f549c9857b,2.55,tarama
0007bbf6-f736-4be2-949e-05a01e316953,1.77,tarama
0007d250-1e61-4dd1-a35c-77514b7c38c7,1.98,tarama
00092ecb-349a-4102-a460-73460f2aa305,2.40,tarama
000e8c8d-0ff9-4384-8d22-40b5804ef8d6,2.27,tarama
000fcf74-48bc-42bc-9d08-26febff8e37b,4.27,tarama
0013291d-ab14-4f4d-b3d3-c284bff6c5c3,1.96,tarama
00141cca-0646-4c6e-b62e-f5afc068cd80,1.28,tarama
001b9805-7f4e-4375-b17a-fb11fd8feacf,2.04,tarama
001dee06-edfb-46fa-a867-9a27aedd8eb0,2.71,kapi
001fadbe-2ab7-4ec1-bc1a-e571509e99ca,1.90,tarama
0021482f-58a4-46e2-909a-d520a056b9ba,2.07,tarama
0022e374-f386-488e-9aad-f4c221f5c305,1.69,tarama
002c722e-75af-4ed2-b990-37a224cc61c7,1.67,tarama
002ca933-f1b3-4083-a0eb-faef38406270,1.78,kapi
002d95bf-5389-4a8b-9f7a-2ac1c48bd40f,3.07,tarama
0032d283-c7a1-42a1-b22b-3a248d92be91,4.10,tarama
00336d00-dc27-48c4-9115-3b72d1d0711a,2.38,tarama
003e2733-e66c-4c32-96ed-f43b8373028f,2.13,tarama
004b41a2-b949-4c3f-b520-714da0172c3d,1.45,tarama
004c5d39-6717-42e4-895f-a304576414c7,1.93,tarama
00583de1-f025-456a-924a-cc06118cf80a,1.80,tarama
00595793-13d0-44ff-8057-589b068538f5,2.13,tarama
0065cbce-94ab-4b94-b9d6-8287a66f8ec0,2.95,tarama
0068b933-d8d4-49ee-9537-d0db7db92a4b,1.53,tarama
0068ef5f-0794-4f97-a730-fdc8ef901599,1.55,tarama
006a05a9-e876-49eb-b453-a2936fa42063,1.76,tarama
00702901-b002-449e-9705-ce8a5a5f1f54,2.03,kapi
00710014-e549-4aab-a44d-dfbbab83f378,3.11,tarama
007f8eca-ed0a-4508-85fa-1d16d2f44d9f,1.36,tarama
008241dd-aa8b-4572-9032-c9ab3b170164,3.79,kapi
008532cd-b6d2-4c49-b341-77ccc320c97a,3.71,tarama
008f2475-4a1a-4670-ac68-1cef37f5bf90,1.00,tarama
009a02c2-116a-4358-b918-78e255fb8e27,2.00,tarama
009d20dd-86d8-48e9-9b94-84f1ee4cc6d2,2.16,kapi
00a1ef5d-d641-42d3-8b34-19fe07e531b1,3.16,kapi
00a20e91-ffae-4f83-b8e2-470df21e55f9,2.88,tarama
00b761e6-1acf-41b9-80be-35e38f6cf8d8,2.34,tarama
00b99125-7bcc-4715-9e2c-c71f9f86d38f,3.28,tarama
00bb37ff-c040-41ac-bdd7-bc5fb3dabaf8,1.86,tarama
00bfd277-6db7-4fd5-8d08-97d6cf9bf67b,2.04,tarama
00c4a92f-87cf-4233-8a2d-e63f88df4aaa,2.72,kapi
00c4c96b-0c19-4cc4-b76d-255f3aaeb720,2.10,tarama
00c9b382-85a2-42e4-8e82-ef360bdc43be,2.82,tarama
00cb1def-4abd-4a31-b941-277d85d121ae,1.98,tarama
00d1d1d1-471a-4902-bf96-addcbcb41f1b,2.40,tarama
00d1f113-a8cf-4e6f-a94e-5a4fe1f79c46,2.55,tarama
00d37c42-72a4-418d-8080-73e9e8d1e70e,1.79,tarama
00d4d5d2-31e2-4227-ab69-b401ee5882a9,3.58,tarama
00d69fff-194e-483b-b52f-9db921fd8d73,2.76,tarama
00daab5e-f004-42ed-9d4d-8da88798132b,2.93,kapi
00dd2974-e6e3-4b0d-9052-37be346127bd,2.39,tarama
00dd5500-b726-4f5c-8a94-73d0826a9a0e,3.45,kapi
00dea4dc-9d81-42ff-bd83-7f82364c1362,1.89,tarama
